City,Cloudy,Humidity,Latitude,Temperature,Wind Speed
Chara,64,64,57.1,253.35,0.86
Dongshi,64,87,30.42,277.075,1.66
Valtimo,68,89,63.54,264.075,1.36
Sinan,80,100,34.42,279.7,4.56
Marsassoum,0,55,13.03,292.15,2.1
Belaya Gora,64,39,68.34,241.1,1.31
Woodchopper Creek,68,50,66.06,238.275,0.86
Goiatuba,12,81,-18.11,292.325,1.96
Olhão,0,100,36.04,289.375,1.21
Bilibino,36,55,67.44,251.725,2.76
Pale,100,100,-1.76,298.575,4.76
Khandud,56,64,37.16,250.95,0.76
Provinsi Jambi,44,95,-1.18,298.725,0.96
Departamento de Punilla,75,93,-31.16,290.15,7.7
Seadrift,1,79,28.31,282.94,2.1
Jincheng,80,99,28.42,274.1,0.71
Verkh-Usugli,44,71,53.02,254.6,1.06
Malmstrom Air Force Base,75,63,47.59,278.37,5.7
Quila,0,93,24.69,289.225,0.86
Kikwit,24,85,-5.65,299.625,1.61
Tazovskiy,44,32,67.28,243.225,3.76
Nullagine,68,10,-22.09,316.475,2.01
Al Fuqahā’,0,33,26.72,285.525,1.86
Amgalang,0,71,48.52,258.275,2.46
Kodinsk,80,65,59.43,263.125,3.46
Ranir Bazar,0,41,23.97,298.15,1.5
Maslyanino,68,73,54.56,259.8,3.01
Liozon,0,75,15.26,302.875,7.26
East Pilbara,0,12,-21.54,316.675,2.06
Teahupoo,92,100,-18.23,300.675,1.41
Nechavom,64,73,66.41,251.875,3.61
Magaria,0,33,13.11,292.875,2.86
Suksukan,56,37,64.07,241.175,1.36
Kaktovik,36,75,71.17,246.125,4.81
Tchibanga,44,87,-2.56,299.8,1.36
Araripina,92,96,-7.41,292.45,1.81
Agirish,0,75,62.18,245.8,1.16
Wha Ti,0,0,64.13,235.55,5.21
Ebon,48,97,3.58,302.775,5.86
Resolute,12,38,75.17,241.475,3.56
Ezhva,88,92,61.8,260.15,2.0
Urubici,8,95,-27.93,291.375,2.56
Parit,80,72,-3.68,302.925,2.91
Kasempa,56,87,-13.85,298.1,4.06
Adak,90,66,51.59,275.35,12.3
Miami-Dade County,1,80,25.81,285.71,4.6
Gongjing,92,93,29.18,280.7,1.66
Sukhirin,32,71,5.91,300.325,1.56
Mount Mitchell,64,87,-30.0,292.2,1.86
Ust’-Kirenga,80,77,57.05,267.2,3.61
Bulagtay,8,81,49.33,259.025,1.11
Itiquira,88,88,-17.27,295.45,1.31
Al Wiḩdah,0,38,29.93,287.375,2.46
Morro do Chapeu,92,83,-11.37,293.6,3.76
Northern Bahr el Ghazal State,0,58,10.02,295.675,4.66
Cape Parry,75,68,70.06,245.15,4.6
Dampier,0,84,-20.64,304.875,7.86
Baysary-Sagasy,48,85,47.51,267.7,3.01
Atasu,8,91,49.26,259.075,2.11
